,CholeskyCMAES,CholeskyCMAES_Aupdate1,pycma,pycmaDiagonal,netname,layername,channum,noise_level,RND,expdir
0,1.0001760310064938,1.001047635012988,1.0020242805791337,1.0908127176376032,alexnet,.classifier.Linear6,0,0.0,21635,alexnet_.classifier.Linear6_000
1,1.0001705644186398,1.0010502777569275,1.0020455493354157,1.1094091209124157,alexnet,.classifier.Linear6,1,0.0,44670,alexnet_.classifier.Linear6_001
2,1.0001775568868791,1.0010915748735285,1.0019923466470142,1.122728810589531,alexnet,.classifier.Linear6,2,0.0,73959,alexnet_.classifier.Linear6_002
3,1.0001746467657773,1.0009965506401899,1.0019671031812132,1.0854554398825662,alexnet,.classifier.Linear6,3,0.0,13221,alexnet_.classifier.Linear6_003
4,1.0001722810476703,1.0010553708624543,1.002114878665235,1.0990817499185208,alexnet,.classifier.Linear6,4,0.0,1209,alexnet_.classifier.Linear6_004
5,1.0001756459669158,1.0010445936531058,1.0020435994223804,1.0910176125798385,alexnet,.classifier.Linear6,5,0.0,35088,alexnet_.classifier.Linear6_005
6,1.0001714691344206,1.0010796879922272,1.002030945964053,1.0773950346880536,alexnet,.classifier.Linear6,6,0.0,99958,alexnet_.classifier.Linear6_006
7,1.0001782410603917,1.0010622091169092,1.0020632762263564,1.124074840891875,alexnet,.classifier.Linear6,7,0.0,52590,alexnet_.classifier.Linear6_007
8,1.0001753641255275,1.0010368508330958,1.0020880444632965,1.0815437412420243,alexnet,.classifier.Linear6,8,0.0,97635,alexnet_.classifier.Linear6_008
9,1.0001686770353186,1.0010263556427879,1.0021262416931704,1.0854718310063614,alexnet,.classifier.Linear6,9,0.0,61434,alexnet_.classifier.Linear6_009
10,1.000174125100849,1.0010443152862134,1.0020617746572598,1.0673862637531386,alexnet,.classifier.Linear6,10,0.0,42800,alexnet_.classifier.Linear6_010
11,1.0001803594932515,1.0010840983704352,1.0020598663986797,1.1010343167486236,alexnet,.classifier.Linear6,11,0.0,63924,alexnet_.classifier.Linear6_011
12,1.0001694739526072,1.0010545269865807,1.0020395741022765,1.0609576686510709,alexnet,.classifier.Linear6,12,0.0,33736,alexnet_.classifier.Linear6_012
13,1.0001701998524413,1.0010347539404272,1.0020221533358435,1.1072870195241105,alexnet,.classifier.Linear6,13,0.0,18873,alexnet_.classifier.Linear6_013
14,1.000168253737571,1.0010502548073885,1.0020792039207012,1.0698985205657459,alexnet,.classifier.Linear6,14,0.0,82517,alexnet_.classifier.Linear6_014
